Device ,Codename,
Pixel ,Sailfish,
Pixel XL,Marlin,
Pixel 2,Walleye,
Pixel 2 XL,Taimen,
Pixel 3,Blueline,
Pixel 3 XL,Crosshatch,
Pixel 3a,Sargo,
Pixel 3a XL,Bonito,
Pixel 4,Flame,
Pixel 4 XL,Coral,
Pixel 4a,Sunfish,
Pixel 4a 5G,Bramble,
Pixel 5,Redfin,
OnePlus 1,Bacon,
OnePlus 2,oneplus2,
OnePlus X,onyx,
OnePlus 3,oneplus3,
OnePlus 3T,oneplus3t,
OnePlus 5,cheeseburger,
OnePlus 5T,dumpling,
OnePlus 6,enchilada,
OnePlus 6T,Fajita,
OnePlus 7,guacamoleb,
OnePlus 7 Pro,guacamole,
OnePlus 7T,hotdog,
OnePlus 7T Pro,hotdog,
OnePlus 8,instantnoodle,
OnePlus 8 Pro,instantnoodlep,
OnePlus 8T,kebab,
OnePlus Nord,Avicii,
OnePlus 9R,Lemonade,
OnePlus 9,Lemonade,
OnePlus 9 Pro,Lemonade,
Pocophone F1,beryllium,
Poco F2 Pro,lmiglobal,
Poco X2,phoenix,
Poco X3,surya,
Poco M2 Pro,gram,
Poco M3,citrus,
Poco C3,angelicain,
Mi 1/S,Mione_plus,
Mi 2,aries,
Mi 3 TD,pisces,
"Mi 3 / Mi 4, LTE/WCDMA",cancro,
Mi 4i,ferrari,
Mi 4c,libra,
Mi 4s,aqua,
Mi 5,gemini,
Mi 5s,capricorn,
Mi 5s Plus,natrium,
Mi 5x,tiffany,
Mi 5c,meri,
Mi 6,sagit,
Mi 6x,wayne,
Mi 8,dipper,
Mi 8 SE,sirius,
Mi 8 Explorer Edition,ursa,
Mi 8 Lite,platina,
Mi 8 Pro,equuleus,
Mi 9,cepheus,
Mi 9 SE,grus,
Mi Play,lotus,
Mi CC 9/ 9 Lite,pyxis,
Mi CC 9E,laurus,
Mi 9 Pro 5G,crux,
Mi 10,umi,
Mi 10 Lite 5G,monet,
Mi 10 Pro,cmi,
Mi 10 Youth Edition 5G,vangogh,
Mi 10T ,Apollo,
Mi 10T Pro,Apollo Pro,
Mi 11,Venus,
"Redmi 1, WCDMA",HM2013023,
"Redmi 1S, WCDMA",armani,
"Redmi 2, WCDMA",wt88047,
Redmi 2A / Enhanced,wt86047,
Redmi 2 Pro,HM2014819,
Redmi 3/3 Pro/3 Prime,ido,
Redmi 3S/3X/3S Prime,land,
Redmi 4A,rolex,
Redmi 4,prada,
Redmi 4 PRO,markw,
Redmi 4x / Redmi 4 India,santoni,
Redmi 5A,riva,
Redmi 5,rosy,
Redmi 5 Plus / Redmi Note 5 India,vince,
Redmi Pro,omega,
Redmi S2/Y2 India,ysl,
Redmi 6A,cactus,
Redmi 6,cereus,
Redmi 6 Pro,sakura / sakura_india,
Redmi 7,onclite,
Redmi 8,olive,
Redmi 8A,olivelite,
Redmi GO,tiare,
Redmi K20/Mi 9T,davinci,
Redmi K20 Pro/Mi 9T Pro,raphael,
Redmi K20 Pro Premium,raphael,
Redmi Y3,onc,
Redmi K30,phoenix,
